;crl.tot;dollar;bang;money;n000;make;yesno
665;243;0,182;0,728;0;1,23;0,3;y
666;118;0;0,046;0;0;0;y
667;350;0;0,897;0;0;0;y
668;606;0,054;0,337;0,32;0;0,56;y
669;1096;0,022;0,022;0,26;0,13;0;y
670;125;0;1,098;0;2,59;0;y
671;640;0,894;0,246;0;0;0,09;y
672;1328;0,106;0,902;0;0;0,34;y
673;81;0;0,269;0;0;0;y
674;31;0;1,111;0;0;0;y
675;9088;0;0,03;0,04;0;0;y
676;189;0,114;0,513;0;0,41;0,82;y
677;111;0,161;0,644;0;0,42;0;y
678;1044;0,39;0,991;0,3;0;0,1;y
679;9090;0;0,034;0,04;0;0;y
680;3498;0,166;0,64;0,84;0,34;0,87;y
681;67;0;0,061;0;0;0,43;y
682;156;0,063;0,158;0,2;0;0;y
683;518;0;0,671;0,77;0;2,32;y
684;1481;0,202;0,233;0,72;0,4;0,08;y
685;707;0,077;1,132;0,31;0,55;0,07;y
686;2207;0,543;0,453;0,63;0,38;0,52;y
687;1613;0,141;0,337;0,76;0,29;0,4;y
688;24;0,439;0;0;0;0;y
689;86;0;0,323;0;0,31;0;y
690;86;0;0;0;0;0;y
691;86;0;0,109;0;0;0;y
692;125;0;1,098;0;2,59;0;y
693;199;0;3,851;0;0,86;0;y
694;127;0,105;0,052;0;0;0;y
695;1351;0,158;0,49;0,1;0,6;0,1;y
696;727;0,049;0,248;0,33;0,49;0;y
697;1112;0,217;0,593;0,93;0,8;0,4;y
698;1351;0,158;0,49;0,1;0,6;0,1;y
699;1589;0,388;0,406;0,31;0,52;0,15;y
700;1028;0,396;0,974;0,3;0;0,1;y
701;472;0;0;0;0;0;y
702;105;0;0,128;0;0;0;y
703;640;0,674;0,179;0;0;0;y
704;1046;0,397;0,977;0,3;0;0,1;y
705;49;0;0;0;0;0;y
706;977;0,39;0,244;0;3,38;0;y
707;509;0,107;0,287;0;0;0,11;y
708;93;0,223;0,223;0,74;0;0;y
709;499;0,077;0,847;0,49;0;0,24;y
710;1621;0,141;0,343;0,76;0,29;0,4;y
711;723;0,452;0,169;0,47;0;0,95;y
712;292;0,206;0,206;0;0,31;0;y
713;194;0,145;0,145;0;0;0;y
714;640;0,673;0,179;0;0;0;y
715;191;0,288;0,144;0;0;0;y
716;45;0;0,334;1,96;0;0;y
717;576;0,037;1,362;0,23;0;0;y
718;104;0;0,122;0,38;0;0;y
719;1349;0,101;0,859;0;0;0,33;y
720;1349;0,101;0,858;0;0;0,32;y
721;247;0,034;0,238;0;0;0;y
722;1351;0,158;0,49;0,1;0,6;0,1;y
723;1339;0,224;0,25;0,16;0,91;0,16;y
724;1339;0,224;0,25;0,16;0,91;0,16;y
725;38;0,171;0,343;0;0;0,93;y
726;228;0,83;0,276;0;1,3;0;y
727;97;0;0,124;0,39;0;0;y
728;38;0;0;0;0;0;y
729;264;0,061;0,367;0;0,36;0;y
730;141;0;0,328;0;0;0;y
731;521;0,161;0,01;0,05;0,74;0,17;y
732;222;0,411;0,529;0,65;0,32;0,98;y
733;1295;0,103;0,309;0,21;0,35;0,07;y
734;895;0,216;0,278;0;1,06;0;y
735;312;0;0,349;0;0,38;0;y
736;114;0,124;0,124;0;0;0;y
737;163;0;0,305;0;0;0;y
738;92;0;1,836;0;2,7;0;y
739;164;0,04;0;0;0;0;y
740;124;0;0;0;0;0;y
741;158;0,056;0,224;0;0;0;y
742;110;0;0;0;0;0;y
743;482;0;0,065;0;0;0;y
744;204;0;0,021;0;0,27;0;y
745;429;0,828;0,677;0;0,24;0,24;y
746;1478;0,135;0,432;0,18;0,55;0;y
747;2;0;0;0;0;0;y
748;158;0,056;0,225;0;0;0;y
749;224;0;0,126;0;0;0,68;y
750;349;0;0,19;0,28;0;0;y
751;44;0;0,291;0;0;0;y
752;247;0,432;0,432;0;0,75;0;y
753;234;0;0,103;0,65;0;0;y
754;260;0,105;0,079;0,16;0;0;y
755;264;0,101;0,076;0,16;0;0;y
756;260;0,106;0,079;0,17;0;0;y
757;173;0,932;0,435;0;1,47;0;y
758;813;0,192;0,41;0,26;0,13;0,46;y
759;237;0;0,394;0;0;0;y
760;258;0,107;0,08;0,16;0;0;y
761;101;0;0,117;0;0;0;y
762;166;0;0;0;0;0;y
763;452;0,046;0,371;0,28;0;0;y
764;158;0;0;0;0;0;y
765;753;0,162;0,339;1,5;0,17;0,26;y
766;54;0;0,224;0;0;0;y
767;42;0,483;1,129;0;0;0;y
768;363;0,027;0;0;0,18;0;y
769;460;0,163;0,02;0,05;0,75;0,17;y
770;506;0;0,215;0;0;0;y
771;131;0;0,301;0,44;0;0;y
772;228;0,035;0,315;0;0;0,49;y
773;75;0;0,077;0;0;0;y
774;63;0,117;1,179;0;0;0;y
775;179;1,457;0,072;0;2,53;0,42;y
776;113;0,128;0,064;0;0;0;y
777;197;0;0;0;0,49;0;y
778;1415;0,145;0,393;0,09;0,59;0,09;y
779;63;0,248;0;0;0;0;y
780;453;0,165;0,01;0,05;0,76;0,17;y
781;24;0;0;0;0;0;y
782;528;0,031;0,253;0,09;0,36;0,09;y
783;305;0,124;0,035;0;0,55;0;y
784;55;0,345;0,921;0;0;0;y
785;464;0;0,267;0,47;0;0;y
786;306;0,118;0,033;0;0,54;0;y
787;542;0,031;0,252;0,09;0,36;0,09;y
788;542;0,031;0,252;0,09;0,36;0,09;y
789;53;0;0,347;0;0;0;y
790;141;0,173;0,288;0;0,65;0,32;y
791;632;0,317;0,766;1,38;0;1,18;y
792;507;0;0,61;0,31;0;0;y
793;888;0,229;0,613;1,17;0;1,01;y
794;532;0,056;0,056;0;0;0;y
795;92;0;0,134;0;0;0,72;y
796;530;0,031;0,237;0,09;0,36;0,09;y
797;298;0,188;0,235;0,27;0,82;0;y
798;172;0;0;0;0;0;y
799;96;0,238;0,238;0,68;0,68;0;y
800;646;0;0,189;0;0;0;y
801;974;0,071;0,119;0,22;0;0,07;y
802;1412;0,118;0,408;0,08;0,85;0,08;y
803;80;0;0,61;0;0;0;y
804;555;0;0,158;0;0;0;y
805;152;0;0,124;2,45;0;0;y
806;1331;0,105;0,898;0;0;0,34;y
807;61;0,665;0,221;0;0;0;y
808;281;1,212;0,071;0;0,51;0;y
809;735;0,173;1,739;0;0;0,48;y
810;1330;0,105;0,898;0;0;0,34;y
811;530;0,031;0,237;0,09;0,36;0,09;y
812;1412;0,118;0,408;0,08;0,85;0,08;y
813;131;0;0;2,32;0;0;y
814;80;0;0,636;0;0;0;y
815;253;0,184;0;0;0,78;0;y
816;2370;2,33;0,458;0,57;0,39;0,43;y
817;675;0,056;0,131;0,81;0;0,23;y
818;275;0;0,16;0,67;0;0;y
819;742;0,168;1,687;0;0;0,47;y
820;742;0,168;1,683;0;0;0,46;y
821;535;0,032;0,257;0,09;0,36;0,09;y
822;125;0;0,088;0;0;0;y
823;356;0;0,979;0;0;0;y
824;125;0;0,088;0;0;0;y
825;1514;0,254;0,418;1,07;1,9;0,71;y
826;52;0,109;0,875;0;0,73;0;y
827;132;0;1,001;0;0;0,68;y
828;2213;0,519;0,445;0,61;0,37;0,5;y
829;268;0,278;0,123;0,84;0;0,67;y
830;159;0;0,396;0;0;0;y
831;566;0,015;0,03;0,09;0,36;0,18;y
832;131;0,478;0,095;0;1,59;0;y
833;131;0,475;0,095;0;1,58;0;y
834;131;0,473;0,094;0;1,53;0;y
835;1726;0,182;0,384;0,1;0,52;0;y
836;54;0,138;0,138;0;0;0;y
837;650;0,127;1,3;0,47;0,15;0,31;y
838;54;0;0,455;0;0;0;y
839;650;0,127;1,3;0,47;0,15;0,31;y
840;157;0,166;0;0,32;0;0;y
841;60;0,215;0;0;0;0;y
842;1426;0,16;0,336;0,2;0,4;0,1;y
843;3315;0;0,016;0;0;0;y
844;82;0,424;0,424;0;1,12;0;y
845;182;0;0,421;0;0;0,59;y
846;18;0;0;0;0;0;y
847;1342;0,106;0,287;0,19;0,52;0,06;y
848;106;0;0,843;0;0;1,23;y
849;537;1,223;2,224;0;0;0;y
850;529;1,237;2,249;0;0;0;y
851;1287;0,175;0,334;0,2;1,14;0,1;y
852;134;0;1,235;0;0;0;y
853;61;0,662;0,441;0;0;0;y
854;274;0;0,102;0,63;0;0;y
855;59;0;0,174;0;0;0;y
856;59;0;0,173;0;0;0;y
857;364;0,132;0,864;0;0;0;y
858;35;0;0;0;0;0;y
859;1458;0,155;0,326;0,19;0,39;0,09;y
860;339;0,064;0,016;0;0,73;0,1;y
861;521;0,099;0,007;0,14;0,38;0,14;y
862;875;0,014;0,611;0,27;0,09;0,36;y
863;79;0,552;0,368;0,37;0;0;y
864;94;0,235;0,235;0;0;0;y
865;425;0,175;0,878;0,37;0;0;y
866;425;0,175;0,878;0,37;0;0;y
867;24;0;4,733;0;0;0;y
868;145;0;0;0;0,34;0,17;y
869;536;0,161;0,02;0,05;0,74;0,17;y
870;364;0,146;0,182;0;0,2;0;y
871;267;0,505;1,199;0;0;0;y
872;564;0,148;1,599;0,67;0,22;0,45;y
873;368;0,124;0,088;0,19;0;0;y
874;264;0,187;0;0;0;0;y
875;15;0;7,843;0;0;0;y
876;5;0;0;0;0;0;y
877;48;0;0;0;0;0;y
878;748;0,249;1,663;0;0;0,46;y
879;744;0,168;1,687;0;0;0,47;y
880;162;0,612;2,143;0;0;0,9;y
881;972;0,071;0,131;0,22;0;0,07;y
882;57;0,204;0;1,28;0;0;y
883;571;0;0,862;0;0;0;y
884;744;0,168;1,683;0;0;0,47;y
885;744;0,168;1,68;0;0;0,47;y
886;144;0;0;0;0;0;y
887;144;0;0;0;0;0;y
888;1334;0,105;0,899;0;0;0,34;y
889;73;0,389;0;0;1,08;0;y
890;87;0;0,572;0;0;0;y
891;44;0;1,326;0;0;0;y
892;211;0,059;0,238;0,36;0;0;y
893;178;0;0;0;0;0;y
894;2224;0,573;0,425;0,59;0,34;0,41;y
895;125;0,111;0,055;0,62;0;0,31;y
896;409;0;0,768;0;0,56;0;y
897;294;0,022;0;0;0,14;0;y
898;291;0,291;0,582;0,27;0;0;y
899;54;0,21;0;1,31;0;0;y
900;54;0,21;0;1,31;0;0;y
901;33;0,35;0,701;0;0;0;y
902;363;0;0,819;0;0;0;y
903;20;0;0,263;0;0;0;y
904;9163;0,09;0,356;0,47;0,69;0,29;y
905;249;0,433;0,433;0;0,76;0;y
906;78;0,182;0;0;0;0;y
907;447;0,188;0,358;0,21;0;0,31;y
908;508;0;0,242;0;0;0;y
909;52;0;1,011;0;0;0;y
910;2333;0,523;0,454;0,54;0,51;0,51;y
911;909;0,149;0,298;0,61;0;0,2;y
912;80;0,341;0,17;0;0;0;y
913;54;0,21;0;1,31;0;0;y
914;70;0,171;0;0;0;0;y
915;249;0,524;1,154;0;0;0;y
916;119;0,336;0,168;0;2,35;2,35;y
917;139;0,169;0;0,32;0;0;y
918;937;0,174;0,174;0;0,51;0;y
919;175;0;0,478;0;0;0;y
920;139;0,168;0;0,32;0;0;y
921;139;0,168;0;0,32;0;0;y
922;113;0,339;0,792;0;0,78;0,78;y
923;603;0,133;0,601;0;0,8;0;y
924;115;0,341;0,682;0;0,78;0,78;y
925;93;0,138;0,415;0;0;0;y
926;150;0,074;0,149;0;0;0;y
927;495;0;0,395;0;0;0;y
928;115;0,341;0,682;0;0,78;0,78;y
929;113;0;0,121;0;0;0;y
930;2227;0,524;0,36;0,38;0,46;0,38;y
931;134;0,218;1,021;0;1,31;0,43;y
932;71;0;0,234;0;0;0;y
933;46;0;0,371;0;0;0;y
934;87;0;0,559;0;0;0;y
935;434;0,061;0,185;0;0;0;y
936;102;0;0;0;0;0;y
937;87;0;0,565;0;0;0;y
938;1312;0,079;0,089;0,05;0;0,05;y
939;1310;0,079;0,089;0,05;0;0,05;y
940;55;0;0,457;0;0;0;y
941;55;0;0,759;0;0;0;y
942;1180;0,059;1,008;0;0;0,38;y
943;1180;0,059;1,005;0;0;0,38;y
944;1178;0,059;1,008;0;0;0,38;y
945;339;0;0,034;0;0;0;y
946;277;0;0,034;0;0;0;y
947;71;0;0,522;0,65;0;0;y
948;339;0;0,034;0;0;0;y
949;277;0;0,034;0;0;0;y
950;281;0;0,144;0,6;0;0;y
951;139;0,166;0;0,32;0;0;y
952;1402;0,118;0,435;0,08;0,85;0,08;y
953;621;0;2,077;0;0;0;y
954;139;0;0;0;0;0;y
955;139;0;0;0;0;0;y
956;139;0;0;0;0;0;y
957;139;0;0,74;0;0;0;y
958;57;0;0;0;0;0;y
959;101;0,099;0,198;0,65;0;0;y
960;885;0,043;0,175;0;0;0;y
961;44;0,118;0,355;0;0,74;0,74;y
962;53;0,208;0;1,29;0;0;y
963;3271;0,018;0,112;0;0;0;y
964;132;0,118;0,355;0;0;0;y
965;132;0,118;0,356;0;0;0;y
966;119;0;0;0;0;0;y
967;273;0,047;0,142;0;0;0;y
968;119;0;0;0;0;0;y
969;446;0,289;0,52;1,23;0,76;1,23;y
970;543;0,037;1,046;0;0;0;y
971;242;0;0,238;0,71;0;0,95;y
972;543;0,037;1,046;0;0;0;y
973;622;0,191;1,147;0;0;0;y
974;43;0,13;0,391;0;0,9;0,9;y
975;43;0,118;0,355;0;0,74;0,74;y
976;1038;0,107;0,134;0,81;0,16;0;y
977;578;0,504;0,458;0,54;0,27;0,27;y
978;869;0,271;0,465;0;1,28;0;y
979;113;0,313;0,522;0;0,64;0,64;y
980;70;0,171;0;0;0;0;y
981;103;0,073;0,367;0;0;0;y
982;237;0,112;0,31;0,18;0;0;y
983;332;0,088;0,265;0;0;0;y
984;53;0,213;0;1,31;0;0;y
985;273;0;0,587;0;0;0;y
986;137;0,2;1,706;0;1,36;1,36;y
987;556;0;0,198;0;0;0;y
988;276;0;0,13;0,54;0;0;y
989;319;0,438;0,39;0;0,94;0;y
990;96;0;0,371;0;0;0;y
991;1351;0,158;0,491;0,1;0,6;0,1;y
992;189;0;0,26;0;0;0;y
993;271;0,201;1,105;0;0;1,24;y
994;65;0,062;0,312;0;0;0;y
995;445;0;0,199;0;0;0;y
996;445;0;0,199;0;0;0;y
997;445;0;0,199;0;0;0;y
998;79;0;0,236;0;0;0;y
999;767;0,162;1,626;0;0;0,45;y
1000;773;0,244;1,631;0;0;0,45;y
1001;773;0,245;1,633;0;0;0,45;y
1002;301;0,132;0,53;0,82;0;0,82;y
1003;757;1,313;5,848;0,09;0;0,09;y
1004;53;0,212;0;1,31;0;0;y
1005;53;0,212;0;1,31;0;0;y
1006;201;0,141;0,189;0,6;0;0;y
1007;219;0,221;1,254;0;1,41;0,47;y
1008;736;0,467;1,203;0;0;0;y
1009;107;0,254;1,272;4,41;0;1,47;y
1010;109;0,254;1,272;4,41;0;1,47;y
1011;94;0;0,18;0;0;0;y
1012;95;0;0,178;0;0;0;y
1013;736;0,471;1,211;0;0;0;y
1014;757;1,311;5,84;0,09;0;0,09;y
1015;736;0,467;1,203;0;0;0;y
1016;427;0,05;0,376;0,3;0,15;0;y
1017;208;0;0,087;0,3;0;0,15;y
1018;1030;0,041;0,133;0,19;0;0,12;y
1019;75;0;0,573;0;0;0;y
1020;1310;0,079;0,099;0,05;0;0,05;y
1021;95;0;0,204;0;0;0;y
1022;325;0,896;0,482;0,44;0,44;0;y
1023;109;0,403;0,672;0;0;0;y
1024;1622;0,342;0,045;0,28;0,84;0,28;y
1025;1351;0,158;0,49;0,1;0,6;0,1;y
1026;107;0;0,823;0;0;0;y
1027;36;0,266;0,8;0;0;1,63;y
1028;183;0;0,196;0;0;0,69;y
1029;272;0,269;0,539;0,52;1,57;0;y
1030;139;0,166;0;0,32;0;0;y
1031;139;0,166;0;0,32;0;0;y
1032;1414;0,118;0,486;0,08;0,85;0,08;y
1033;462;0,167;0,01;0,05;0,82;0,17;y
1034;374;0,051;0,874;0;0,27;0,27;y
1035;442;0,132;0,663;1,32;0;0;y
1036;110;0;1,939;0;0;0;y
1037;28;0,606;0,606;0;3,57;0;y
1038;82;0;0;0;0;0,54;y
1039;87;0;0,567;0;0;0;y
1040;95;0,063;0,381;0,35;0,35;1,06;y
1041;89;0;1,244;0,68;0;0,68;y
1042;1130;0;0,301;0;0;0;y
1043;432;0,047;0,559;0;0,09;0;y
1044;37;0;0,804;0;0;0;y
1045;77;0,167;0;0;0;0;y
1046;375;0;0,503;0;0;0;y
1047;1042;0,397;0,976;0,3;0;0,1;y
1048;124;0,36;1,562;0;0,8;0,8;y
1049;53;0,212;0;1,31;0;0;y
1050;170;0,169;0,508;0;0;0;y
1051;1313;0,079;0,099;0,05;0;0,05;y
1052;302;0,123;0;0;0;0;y
1053;162;0,271;0;0;0;0,29;y
1054;447;0,169;0,01;0,06;0,84;0,18;y
1055;2510;0,011;0,029;0;0,03;0,06;y
1056;114;0,549;0,481;0,41;0;1,24;y
1057;2923;0,082;0,55;0,24;0,16;0,08;y
1058;1045;0,397;0,977;0,3;0;0,1;y
1059;1324;0,15;0,037;0;0,9;0;y
1060;53;0,212;0;1,31;0;0;y
1061;261;0;0,198;0;0,4;0;y
1062;104;0;0,121;0,38;0;0;y
1063;16;0;0,544;0;0;0;y
1064;703;0,092;0,472;0;0,06;0;y
1065;160;0,17;0,17;0;0;0;y
1066;157;0,868;2,894;0;0;0;y
1067;65;0;0,258;0;0;1,63;y
1068;621;0,056;1,151;0,33;0;0,16;y
1069;740;0,979;5,213;0,19;0;0,09;y
1070;54;0;2,597;0;0;0;y
1071;454;0,162;0,01;0,05;0,75;0,17;y
1072;227;0,04;0,489;0,27;0;0;y
1073;64;0;0,511;0;0;1,61;y
1074;386;0;0,496;0;0;0;y
1075;387;0;0,496;0;0;0;y
1076;144;0,162;0;0,31;0;0;y
1077;96;0,063;0,379;0,34;0,34;1,04;y
1078;164;0,183;0;0;0;0;y
1079;379;0;0,488;0;0;0;y
1080;477;0;0,21;0;0;0,14;y
1081;629;0,196;0,13;0,22;0,22;0;y
1082;428;0,048;0,388;0,29;0,14;0;y
1083;795;0,167;0,167;0,07;0;0,07;y
1084;144;0,163;0;0,31;0;0;y
1085;144;0,163;0;0,31;0;0;y
1086;467;0,167;0,01;0,05;0,81;0,17;y
1087;186;0,232;1,085;0;1,45;0,48;y
1088;114;0,549;0,48;0,41;0;1,24;y
1089;535;0,294;0,261;0,34;0,34;0,34;y
1090;323;0;0,233;0;0;0;y
1091;12;0;0;0;0;0;y
1092;1140;0,014;0,092;0,08;0,34;0,17;y
1093;1140;0,014;0,092;0,08;0,34;0,17;y
1094;89;0,174;0,638;1,04;0;0;y
1095;274;0;0,14;0,58;0;0;y
1096;440;0;0,072;0;0;0;y
1097;192;0,066;0,133;0,4;0;0;y
1098;233;1,492;0,213;0;0;0;y
1099;1734;0,156;0,588;0,44;0,44;0,22;y
1100;75;0;0,292;0;0;0;y
1101;72;0,233;0,467;0;0;0,74;y
1102;826;0;0,13;0,42;0;0;y
1103;253;0,189;0,882;0;0,37;0;y
1104;62;0,514;1,799;0;0;0;y
1105;139;0,113;0,963;0;0;0;y
1106;181;0,261;1,218;0;1,62;0,54;y
1107;53;0,943;0,628;0;5,45;0;y
1108;328;0,957;0,515;0,48;0,48;0;y
1109;59;0;0,278;0;0;0;y
1110;11;0;0,833;0;0;0;y
1111;1261;0;0;0,18;0;0;y
1112;196;0,143;0,191;0,6;0;0;y
1113;44;0;1,326;0;0;0;y
1114;1955;0,136;0,379;0,71;0,27;0,37;y
1115;199;0,142;0,19;0,6;0;0;y
1116;207;0,239;0,239;1,16;0;0,58;y
1117;313;0;0,37;0;0;0;y
1118;185;0,211;0;0,3;0;0;y
1119;186;0,21;0;0,3;0;0;y
1120;161;0;0,103;0,59;0;1,19;y
1121;4128;0,523;0,325;0,46;0,94;0,5;y
1122;207;0,239;0,239;1,16;0;0,58;y
1123;184;0,211;0;0,3;0;0;y
1124;184;0,211;0;0,3;0;0;y
1125;392;0,402;0,402;0,23;0,71;0,47;y
1126;204;0;0;0;0,59;0;y
1127;9;0;4,347;0;0;0;y
1128;264;0,184;0,036;0,24;0,48;0;y
1129;264;0,184;0,036;0,24;0,48;0;y
1130;526;0,263;0,263;0,34;0,34;0,34;y
1131;179;0;0,802;0,43;0;0,43;y
1132;179;0;0,874;0,43;0;0,43;y
1133;274;0;0,14;0,58;0;0;y
1134;50;0;0,543;0;0;0;y
1135;75;0,118;0,653;0,36;0;0;y
1136;543;0,312;0,364;0;0,77;0;y
1137;574;0,014;0,099;0,08;0,34;0,17;y
1138;566;0;0,327;0,52;0;0,52;y
1139;3213;0,793;0,346;0,33;1,01;0,46;y
1140;447;0,305;0,249;0,18;0;0,18;y
1141;574;0,014;0,099;0,08;0,34;0,17;y
1142;67;0,475;1,9;0;0;0;y
1143;496;0,053;0,053;0;0;0;y
1144;998;0,197;1,248;0;0,37;0,37;y
1145;54;0;0,107;0;0;0;y
1146;56;0;0,411;0;0;0;y
1147;725;1,33;5,924;0,09;0;0,09;y
1148;99;0;0,123;0,38;0;0;y
1149;30;0,597;0,298;0;3,17;0;y
1150;330;0;0,424;0;0;0;y
1151;99;0;0,123;0,38;0;0;y
1152;766;0,073;0,25;0;0,19;0,06;y
1153;208;0,122;0,061;0,37;0;0,74;y
1154;118;0,211;0,705;0;0;0;y
1155;344;5,3;0,904;0,82;0,41;1,24;y
1156;1645;0,111;0,431;0,04;0,29;0;y
1157;344;5,3;0,904;0,82;0,41;1,24;y
1158;85;0;0;1,42;0;0;y
1159;314;0;0,555;0;0;0;y
1160;50;0,087;0,174;0;0,48;1,44;y
1161;3160;0,858;0,328;0,34;0,99;0,47;y
1162;170;0;1,562;0;0;0;y
1163;189;0,259;1,208;0;1,59;0,53;y
1164;114;0,549;0,48;0,41;0;1,24;y
1165;200;0,345;1,208;0;0;0;y
1166;200;0,345;1,207;0;0;0;y
1167;1000;0,196;1,246;0;0,37;0,37;y
1168;711;0,141;1,275;0,51;0,17;0,34;y
1169;477;0,061;0,371;0,12;0;0;y
1170;83;0;0,08;0;0;0;y
1171;3059;0,78;0,329;0,34;1,02;0,47;y
1172;122;0;0,138;0;0;0;y
1173;40;0;1,939;0;0;0;y
1174;40;0;1,947;0;0;0;y
1175;40;0;1,949;0;0;0;y
1176;477;0,189;0,586;0;0,39;0,19;y
1177;91;0,062;0,503;0,34;0,34;1,03;y
1178;435;0,182;0,136;0;0;0,27;y
1179;84;0,692;0;0;0;0;y
1180;475;0,061;0,371;0,12;0;0;y
1181;301;0;0,331;0;0;0;y
1182;485;0,155;1,634;0,74;0,24;0,49;y
1183;259;0,103;0,619;0,6;0;0;y
1184;224;0,217;0,795;0,46;0;0;y
1185;132;0;2,362;0;0;0,67;y
1186;288;0,147;0,294;0;0;0;y
1187;190;0,312;0,625;0,49;0;0;y
1188;81;0;0;0;0;0;y
1189;114;0;1,473;0;0;0;y
1190;194;0,349;1,135;0;0;0;y
1191;795;0,168;0,13;0,23;0;0,23;y
1192;70;0;0,441;0;0;0;y
1193;249;0,248;0,496;0;0,47;0;y
1194;70;0;0,441;0;0;0;y
1195;255;0,184;0,036;0,24;0,48;0;y
1196;234;0;0;0;0;0;y
1197;132;0;2,413;0;0;0,67;y
1198;359;0;0;0;0;0;y
1199;359;0;0;0;0;0;y
1200;3016;0,734;0,311;0,31;0,97;0,43;y
1201;40;0;0,909;0;0;0;y
1202;1351;0,158;0,49;0,1;0,6;0,1;y
1203;286;0,147;0,294;0;0;0;y
1204;194;0,347;1,217;0;0;0;y
1205;20;0;0;0;0;0;y
1206;73;0;0,434;0;0;0;y
1207;25;0;0,462;0;0;0;y
1208;3029;0,784;0,344;0,34;1,11;0,47;y
1209;143;0;0,706;0;0;0;y
1210;450;1,357;0,327;0,23;0;0;y
1211;441;0,349;0;0;1,28;0;y
1212;92;0;0,416;0;0;0;y
1213;361;0;1,434;0,29;0;0;y
1214;247;0,251;0,502;0;0,48;0;y
1215;238;0,252;0,421;0;0,48;0;y
1216;234;0,254;0,677;0;0,49;0;y
1217;78;0;0,105;0;0;0,72;y
1218;3033;0,754;0,318;0,31;1;0,45;y
1219;59;0;0,924;0;0;1,17;y
1220;135;0;0,093;0,64;0;0;y
1221;135;0;0,093;0,64;0;0;y
1222;135;0;0,093;0,64;0;0;y
1223;418;0,044;0;0;0;0;y
1224;426;0,345;0,345;0,2;0,62;0,41;y
1225;79;0;0;0;0;0;y
1226;3043;0,79;0,331;0,34;1,1;0,47;y
1227;78;0;0,464;0;0;0;y
1228;186;0,501;0,055;0,63;0,31;0;y
1229;195;0,347;1,13;0;0;0;y
1230;78;0;0,464;0;0;0;y
1231;107;0;0,443;0;0;0;y
1232;414;0;0;0;0;0,17;y
1233;222;0,336;0,112;0;0;0;y
1234;62;0;0;0;0;0;y
1235;195;0;0,693;0,12;0;0;y
1236;877;0,233;0,405;0,29;0,09;0,19;y
1237;161;0,188;0,754;0;0;0;y
1238;305;0,061;0,427;1,09;0,36;0,73;y
1239;425;0;0;0;0;0;y
1240;329;0,045;0,06;0,09;0;0;y
1241;197;0,3;0,6;0;0,84;0;y
1242;197;0,3;0,6;0;0,84;0;y
1243;207;0,116;0,116;0;0;0;y
1244;174;0,613;0;0;0;0;y
1245;171;0;0,298;0;0;0;y
1246;171;0;0,077;0;0;0;y
1247;142;0;0;0;0;0;y
1248;202;0,34;1,191;0;0;0;y
1249;249;0,121;0,729;0,72;0;0;y
1250;249;0,129;0,776;0,84;0;0;y
1251;249;0,121;0,729;0,72;0;0;y
1252;505;0,8;0,64;0;2,04;0;y
1253;1107;0,186;0,13;0,34;0,17;0,34;y
1254;103;0;1,417;0,71;0;0,71;y
1255;51;0,103;0,515;0;0;0,65;y
1256;84;0;0,23;0;0;0;y
1257;166;0;0,492;0;0;0;y
1258;25;0;0,233;0;0;0;y
1259;135;0,064;0,645;0;0;0;y
1260;140;0,37;0,444;0;2,2;0,44;y
1261;281;0,116;0,701;0,69;0;0;y
1262;140;0,37;0,444;0;2,2;0,44;y
1263;140;0,37;0,444;0;2,2;0,44;y
1264;142;0,37;0,444;0;2,2;0,44;y
1265;83;0,088;0,443;0;0;0;y
1266;1351;0,158;0,49;0,1;0,6;0,1;y
1267;146;0;1,424;0;0;0;y
1268;1351;0,158;0,49;0,1;0,6;0,1;y
1269;617;0,721;0,25;0,17;0;0,17;y
1270;138;0;0,875;0;0;0;y
1271;98;0,729;1,276;0;0,52;0;y
1272;458;0,163;0,02;0,05;0,75;0,17;y
1273;336;0,716;0,342;0,17;0;0,17;y
1274;42;0;0,415;0;0;0;y
1275;1214;0,175;0,307;0,2;0,1;0,1;y
1276;142;0,105;0,157;0;0,34;0;y
1277;475;0,061;0,371;0,12;0;0;y
1278;475;0,061;0,37;0,12;0;0;y
1279;1689;0,207;0,569;0,68;0,58;0,29;y
1280;1516;0,199;0,548;0,72;0,62;0,31;y
1281;212;0;0;0;0;0;y
1282;106;0;0;0;0;0;y
1283;458;0,163;0,02;0,05;0,75;0,17;y
1284;188;0,105;0,263;0;0;0;y
1285;1514;0,199;0,548;0,72;0,62;0,31;y
1286;993;0,548;0,174;0,39;0,19;0;y
1287;114;0;0;0;0;0;y
1288;724;1,334;5,942;0,1;0;0,1;y
1289;112;0,256;0,64;0,39;1,19;0,39;y
1290;115;0;0,392;0;0;0;y
1291;405;0;0,463;0;0;0;y
1292;188;0;0,471;0;0;0;y
1293;106;0;1,492;0;0;0;y
1294;263;0,231;0;0;0;0,44;y
1295;201;0,08;0,484;0;0,55;0;y
1296;229;0;0,21;0;0;0;y
1297;123;0;0,159;0;0;0;y
1298;42;0;0;0;0;0;y
1299;32;0,48;0,48;0;0;0;y
1300;81;0;0,27;0;0;0;y
1301;81;0;0,269;0;0;0;y
1302;504;0,233;0,155;0,83;0,47;0,59;y
1303;1375;0,243;0,271;0,17;0,95;0,17;y
1304;1042;0,391;0,994;0,3;0;0,1;y
1305;215;0;0,647;0;0;0,22;y
